Gen.	Eval.               	Time                	Best                	Average & Stdev     	
1                   	380                 	29                  	1.43391e+07         	1.58589e+07 484322  	
2                   	716                 	45                  	1.22467e+07         	1.36267e+07 406749  	
3                   	1049                	59                  	1.09204e+07         	1.19481e+07 410401  	
4                   	1390                	70                  	1.03231e+07         	1.11987e+07 291920  	
5                   	1722                	80                  	1.00121e+07         	1.06857e+07 337993  	
6                   	2058                	89                  	8.89262e+06         	9.9585e+06 387488   	
7                   	2392                	97                  	7.97703e+06         	9.02082e+06 367868  	
8                   	2730                	104                 	7.96477e+06         	8.58273e+06 277484  	
9                   	3064                	111                 	7.36932e+06         	8.31685e+06 273839  	
10                  	3396                	118                 	7.15758e+06         	7.94894e+06 292240  	
11                  	3736                	123                 	7.15758e+06         	7.54769e+06 177020  	
12                  	4067                	128                 	6.85862e+06         	7.32196e+06 120094  	
13                  	4403                	133                 	6.75155e+06         	7.23408e+06 146336  	
14                  	4737                	137                 	6.75155e+06         	7.14615e+06 142238  	
15                  	5073                	142                 	6.75155e+06         	7.06915e+06 128666  	
16                  	5405                	147                 	6.74837e+06         	6.9714e+06 106696   	
17                  	5732                	151                 	6.74837e+06         	6.89525e+06 89467.9 	
18                  	6064                	156                 	6.74837e+06         	6.84928e+06 70972.2 	
19                  	6398                	160                 	6.44462e+06         	6.79025e+06 79725.8 	
20                  	6735                	164                 	6.4422e+06          	6.74313e+06 91078.1 	
21                  	7070                	169                 	6.4422e+06          	6.68851e+06 104129  	
22                  	7399                	173                 	6.4422e+06          	6.64316e+06 116039  	
23                  	7732                	177                 	6.14235e+06         	6.55316e+06 115594  	
24                  	8068                	181                 	6.14235e+06         	6.48213e+06 98973.2 	
25                  	8397                	185                 	6.14235e+06         	6.42594e+06 100239  	
26                  	8725                	188                 	6.04222e+06         	6.38192e+06 122142  	
27                  	9063                	192                 	6.04222e+06         	6.36926e+06 126616  	
28                  	9392                	196                 	6.04222e+06         	6.30005e+06 148627  	
29                  	9724                	200                 	6.04222e+06         	6.22833e+06 135478  	
Meilleur:           6.04222e+06
